GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rocketmq-logging 4.9.2,org.apache.rocketmq.logging,InternalLoggerFactory,18,61,5,5,6,23,5,7,0,7
rocketmq-logging 4.9.2,org.apache.rocketmq.logging,InnerLoggerFactory.FormattingTuple,14,46,2,4,4,14,4,5,2,4
rocketmq-logging 4.9.2,org.apache.rocketmq.logging,Slf4jLoggerFactory.Slf4jLogger,70,64,0,0,22,23,11,11,11,11
rocketmq-logging 4.9.2,org.apache.rocketmq.logging,Slf4jLoggerFactory,1,14,0,0,1,6,1,3,1,3
rocketmq-logging 4.9.2,org.apache.rocketmq.logging,InnerLoggerFactory,3,12,0,0,2,5,1,3,1,3
rocketmq-logging 4.9.2,org.apache.rocketmq.logging,InnerLoggerFactory.InnerLogger,96,110,0,0,25,32,10,13,10,13
rocketmq-logging 4.9.2,org.apache.rocketmq.logging,InnerLoggerFactory.MessageFormatter,527,169,73,17,118,34,53,10,11,7
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,SysLogger,74,39,18,4,23,12,15,6,5,5
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,LoggingBuilder.WriterAppender,102,146,20,20,21,55,16,21,0,17
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,LoggingBuilder,3,14,0,0,1,3,1,3,1,3
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,LoggingBuilder.DefaultLayout,0,93,0,4,0,20,0,5,0,3
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,LoggingBuilder.AsyncAppender.Dispatcher,15,132,5,13,4,34,5,6,0,2
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,Level,75,112,22,9,24,26,19,10,2,9
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,Logger.DefaultLoggerRepository.CategoryKey,4,33,3,3,2,9,3,3,0,3
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,Appender.AppenderPipelineImpl,140,58,36,8,38,16,25,6,5,4
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,Logger.ProvisionNode,0,6,0,0,0,3,0,1,0,1
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,LoggingBuilder.LayoutBuilder,5,23,1,1,1,7,1,4,0,4
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,Layout,0,9,0,0,0,4,0,4,0,4
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,LoggingBuilder.FileAppender,72,185,9,9,14,58,9,15,1,14
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,LoggingBuilder.QuietWriter,23,20,1,1,4,10,1,3,0,3
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,Logger.DefaultLoggerRepository,138,207,16,18,36,52,14,16,3,10
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,LoggingBuilder.RollingFileAppender.CountingQuietWriter,7,29,0,0,2,10,0,4,0,4
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,LoggingBuilder.ConsoleAppender,31,35,4,2,7,13,4,5,1,5
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,Appender,76,44,10,2,21,14,10,7,5,6
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,Logger,115,235,46,28,39,65,38,28,7,22
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,LoggingBuilder.SimpleLayout,2,29,0,0,1,7,1,2,1,2
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,LoggingBuilder.DailyRollingFileAppender,188,224,21,14,32,50,17,11,0,8
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,LoggingBuilder.RollingFileAppender,48,268,14,18,10,52,12,13,0,9
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,LoggingBuilder.AsyncAppender,151,204,18,12,44,55,19,10,6,8
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,LoggingEvent,23,121,5,11,8,37,4,11,0,7
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,LoggingBuilder.AppenderBuilder,5,153,1,3,1,52,1,10,0,9
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,LoggingBuilder.RollingCalendar,65,107,4,5,18,32,4,8,0,5
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,Logger.RootLogger,0,8,0,0,0,3,0,1,0,1
rocketmq-logging 4.9.2,org.apache.rocketmq.logging.inner,LoggingBuilder.AsyncAppender.DiscardSummary,61,0,2,0,14,0,4,0,3,0
